timestamps,TP9,AF7,AF8,TP10,Right AUX
1732270585.695,7.812,975.586,377.930,143.066,0.000
1732270585.699,-38.574,970.703,246.094,59.570,0.000
1732270585.703,-62.988,609.863,-197.266,-151.367,0.000
1732270585.707,-33.203,327.148,-395.996,-239.258,0.000
1732270585.710,75.195,335.449,-250.977,6.348,0.000
1732270585.714,76.172,611.816,96.680,198.242,0.000
1732270585.718,4.883,-953.613,357.910,92.285,0.000
1732270585.722,19.531,774.902,-88.867,-115.723,0.000
1732270585.726,60.547,281.738,-416.504,-220.215,0.000
1732270585.730,119.629,525.391,-125.000,-57.617,0.000
1732270585.734,119.629,963.867,281.250,146.484,0.000
1732270585.738,80.566,981.934,287.598,159.180,0.000
1732270585.742,91.797,775.879,-155.273,-79.102,0.000
1732270585.746,100.586,464.844,-446.289,-229.004,0.000
1732270585.750,120.117,513.672,-262.207,-59.570,0.000
1732270585.753,153.809,843.262,83.984,163.574,0.000
1732270585.757,97.168,818.848,129.395,191.406,0.000
1732270585.761,-3.418,825.684,-14.648,-90.332,0.000
1732270585.765,8.301,690.430,-238.770,-278.320,0.000
1732270585.769,43.945,588.379,-231.934,-128.906,0.000
1732270585.773,46.875,848.633,154.297,103.516,0.000
1732270585.777,39.062,-998.047,368.164,160.156,0.000
1732270585.781,-17.578,945.312,82.031,-55.176,0.000
1732270585.785,-65.918,345.703,-376.953,-244.141,0.000
1732270585.789,-46.875,330.078,-222.168,-198.242,0.000
1732270585.792,-19.043,920.410,259.277,19.043,0.000
1732270585.796,10.742,-917.969,376.465,130.859,0.000
1732270585.800,45.410,492.188,-67.871,-32.227,0.000
1732270585.804,37.109,-71.289,-411.133,-264.160,0.000
1732270585.808,53.223,527.344,-74.219,-270.020,0.000
1732270585.812,103.516,893.555,211.426,6.836,0.000
1732270585.816,57.617,959.961,346.680,152.832,0.000
1732270585.820,51.758,919.922,239.746,-13.184,0.000
1732270585.824,70.312,600.098,-108.398,-262.695,0.000
1732270585.828,88.379,278.320,-206.055,-244.141,0.000
1732270585.832,104.492,537.109,182.617,8.789,0.000
1732270585.835,92.285,979.004,465.332,142.090,0.000
1732270585.839,69.824,933.594,326.660,20.996,0.000
1732270585.843,17.578,355.957,-58.105,-190.430,0.000
1732270585.847,-6.836,-351.562,-291.504,-213.867,0.000
1732270585.851,1.953,218.750,166.016,-26.367,0.000
1732270585.855,40.527,-989.258,470.703,132.812,0.000
1732270585.859,11.719,868.164,306.152,71.777,0.000
1732270585.863,-46.387,572.266,81.543,-165.527,0.000
1732270585.866,-25.391,523.926,71.289,-229.004,0.000
1732270585.871,19.531,793.457,337.891,24.414,0.000
1732270585.874,25.879,940.430,386.230,233.398,0.000
1732270585.878,-15.625,974.121,339.355,169.434,0.000
1732270585.882,-46.387,779.785,167.480,-83.984,0.000
1732270585.886,-29.297,393.555,-27.344,-196.777,0.000
1732270585.890,48.340,259.766,114.746,48.340,0.000
1732270585.894,36.133,641.113,358.887,255.859,0.000
1732270585.898,-50.781,-939.941,429.199,207.031,0.000
1732270585.902,-68.359,685.547,112.793,16.602,0.000
1732270585.905,-59.570,39.062,-239.746,-108.887,0.000
1732270585.909,-85.938,390.137,93.262,27.832,0.000
1732270585.913,-27.344,981.445,438.477,267.090,0.000
1732270585.918,-4.395,966.797,338.379,340.820,0.000
1732270585.921,-60.547,711.426,57.617,116.211,0.000
1732270585.925,-43.945,368.652,-267.090,-84.961,0.000
1732270585.929,19.043,540.527,-114.258,59.082,0.000
1732270585.933,95.703,876.953,209.473,325.195,0.000
1732270585.937,128.418,880.859,270.508,412.598,0.000
1732270585.941,151.855,613.281,41.016,212.402,0.000
1732270585.945,179.199,243.652,-317.871,-20.508,0.000
1732270585.948,227.539,158.203,-309.082,89.844,0.000
1732270585.952,235.352,406.250,38.574,340.820,0.000
1732270585.956,161.133,940.918,347.168,379.395,0.000
1732270585.960,139.160,972.168,104.492,179.199,0.000
1732270585.964,137.207,406.738,-317.383,-23.438,0.000
1732270585.968,173.340,293.945,-336.914,23.926,0.000
1732270585.972,229.980,834.961,102.539,252.930,0.000
1732270585.976,204.102,-980.469,368.164,376.465,0.000
1732270585.980,216.309,764.160,68.848,226.074,0.000
1732270585.984,239.258,186.035,-357.910,-13.672,0.000
1732270585.988,161.621,237.793,-313.477,-38.086,0.000
1732270585.992,70.801,878.418,176.270,192.871,0.000
1732270585.995,10.254,754.395,197.754,410.645,0.000
1732270585.999,-39.551,698.730,98.145,253.906,0.000
1732270586.003,-17.578,768.066,62.012,-50.781,0.000
1732270586.007,131.836,327.148,-132.324,-45.410,0.000
1732270586.011,240.723,569.336,185.547,187.012,0.000
1732270586.015,267.578,945.801,413.086,315.430,0.000
1732270586.019,250.000,-990.723,358.398,191.895,0.000
1732270586.023,264.648,583.008,48.340,-32.227,0.000
1732270586.027,272.949,156.738,-129.883,-108.887,0.000
1732270586.031,189.941,486.328,208.008,99.121,0.000
1732270586.035,136.230,932.617,420.410,277.344,0.000
1732270586.038,125.488,937.500,308.105,207.031,0.000
1732270586.042,71.289,246.582,-118.164,-69.336,0.000
1732270586.046,89.844,164.551,-136.719,-213.379,0.000
1732270586.050,195.801,754.883,308.594,20.508,0.000
1732270586.054,214.844,927.246,374.023,250.977,0.000
1732270586.058,201.172,964.355,334.961,238.281,0.000
